"date","source","title","value"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","compteur moyen (h) secteur public","95"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","downloads","2100000"
"Mar 12, 3120 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","usagers ayant validé les CGU","8200000"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","of","18060"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","certifications","5313"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","formations","309600"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","sessions","889200"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","sessions à distance","233850"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","prix moyen catalogue","2117"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","prix moyen d'achat","1216"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","dossiers validés","1185000"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","dépenses","1440000000"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","demandes d'abondements validées par Pôle emploi","26367"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","abondements Pôle Emploi","43000000"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","employeurs ayant initiés des dotations","1640"
"Dec 31, 2020 12:00 am","https://retraitesolidarite.caissedesdepots.fr/sites/default/files/210106_MCF_Chiffres_DEMAT.pdf","abondements employeurs","9370000"
"Dec 15, 2019 12:00 am","https://www.usinenouvelle.com/editorial/le-compte-personnel-de-formation-cpf-en-cinq-chiffres.N932734","compteur moyen (€) secteur privé","1040"
"Mar 7, 2021 6:00 am","https://www.capital.fr/votre-carriere/formation-cette-jolie-somme-qui-vous-attend-sur-votre-cpf-1396122","compteur moyen (€) secteur privé","1340"
"Mar 7, 2021 6:00 am","https://www.capital.fr/votre-carriere/formation-cette-jolie-somme-qui-vous-attend-sur-votre-cpf-1396122","compteur moyen (h) secteur public","96"
"Mar 7, 2021 6:00 am","https://www.capital.fr/votre-carriere/formation-cette-jolie-somme-qui-vous-attend-sur-votre-cpf-1396122","downloads","2400000"
"Mar 7, 2021 6:00 am","https://www.capital.fr/votre-carriere/formation-cette-jolie-somme-qui-vous-attend-sur-votre-cpf-1396122","formations","298000"
